run	question	choice_a	choice_b	choice_c	choice_d	choice_e	answer
1	En général, quel sentiment le narrateur éprouve-t-il pour les adultes ?	a) Il les trouve cruels et n’a pas une bonne opinion d’eux.	b) Il n’a pas vraiment d’opinion.	c) Il pense qu’ils s’occupent trop des « choses importantes » et n’a pas une bonne opinion d’eux.	d) Il pense qu’ils donnent les meilleurs conseils et a une bonne opinion d’eux.	e) Je ne sais pas.	c
2	Après que le Petit Prince ait accepté le dessin réalisé par le narrateur, il s’inquiète que le mouton puisse manquer de quelque chose. De quoi ?	a) De lumière	b) D’eau	c) D’herbe	d) De chaleur	e) Je ne sais pas.	c
3	Pourquoi la communication était difficile avec le Petit Prince ?	a) Il parlait une langue étrangère.	b) Il était muet.	c) Il ne posait pas assez de questions.	d) Il ne répondait pas directement aux questions.	e) Je ne sais pas.	d
4	Pourquoi le narrateur partage-t-il ces détails sur l’astéroïde B612 ?	a) Pour expliquer pourquoi il préfère les chiffres aux descriptions détaillées.	b) Pour critiquer l’obsession des grandes personnes envers les chiffres.	c) Pour justifier l’importance des chiffres dans la compréhension de l’histoire.	d) Pour démontrer l’importance de l’astéroïde B612 dans la vie du Petit Prince.	e) Je ne sais pas.	b
5	Qu’est-ce qui se passe quand un baobab pousse sur une planète trop petite ?	a) La planète tombe du ciel.	b) La planète se brise.	c) La planète prend feu.	d) La planète croît.	e) Je ne sais pas.	b
6	Que fait le Petit Prince avec sa chaise pour voir les couchers de soleil chez lui ? 	a) Il monte sur la chaise.	b) Il renverse la chaise.	c) Il déplace la chaise.	d) Il se cache sous la chaise.	e) Je ne sais pas.	c
7	Comment peut être décrite l’attitude du Petit Prince après la discussion à propos des épines des fleurs ?	a) Indulgente	b) Distante	c) Calme	d) Affectueuse	e) Je ne sais pas.	b
8	Pourquoi le Petit Prince arrose-t-il la fleur ?	a) Il trouvait qu’elle avait l’air fanée.	b) Elle le lui a demandé.	c) Il avait lui-même soif.	d) Elle l’a menacé.	e) Je ne sais pas.	b
9	A quoi servaient les volcans sur la planète du Petit Prince ?	a) A envoyer des signaux à d’autres planètes.	b) A fournir de la lumière durant la nuit.	c) A blesser les intrus.	d) A réchauffer le petit-déjeuner.	e) Je ne sais pas.	d
10	Comment le roi de la planète 1 réagit-il lorsque le Petit Prince bâille en sa présence pour la première fois ?	a) Il interdit tout d'abord au Petit Prince de bâiller, et puis il lui répète l’interdiction.	b) Il lui interdit d’abord de bâiller, puis il lui ordonne de bâiller.	c) Il ordonne immédiatement au Petit Prince de bâiller à nouveau.	d) Il ignore le bâillement.	e) Je ne sais pas.	b
11	Que propose le roi au Petit Prince ?	a) Devenir ministre de la justice.	b) Regarder le coucher de soleil.	c) Bâiller ensemble.	d) Partir sur une autre planète.	e) Je ne sais pas.	a
12	Qu’est-ce que fait le buveur quand le Petit Prince arrive sur sa planète ?	a) Il est en train de détruire ses bouteilles d’alcool.	b) Il est assis parmi ses bouteilles d’alcool.	c) Il cherche de l’alcool.	d) Il est en train d’empiler ses bouteilles d’alcool les unes au-dessus des autres.	e) Je ne sais pas.	b
13	Selon le Petit Prince, quelle est la différence entre les choses qu’il possède sur sa planète et les choses que l’homme d’affaires possède sur la planète quatre ?	a) Contrairement à l’homme d’affaires, on peut prendre soin des choses de sa planète.	b) Contrairement aux choses de l’homme d’affaires, ses affaires sont plus chères.	c) Contrairement aux choses de l’homme d’affaires, ses affaires sont intangibles.	d) Le Petit Prince affirme qu’il peut converser avec les choses de sa planète.	e) Je ne sais pas.	c
14	Qu’est-ce que le Petit Prince propose à l’allumeur de lampes ?	a) De s’asseoir sur sa planète.	b) De se promener sur sa planète.	c) De quitter sa planète.	d) D’allumer et d’éteindre plus souvent sa lumière.	e) Je ne sais pas.	b
