	type	instruction	run
0	memory.txt	Essaie de visualiser mentalement tes trajets quotidiens le plus précisément possible.	1
1	NoTask	NA	2
2	list.txt	Énumère toutes les marques que tu connais.	3
3	NoTask	NA	4
4	math.txt	Décompte à partir de 1000 en soustrayant 7 de manière itérative.	5
5	NoTask	NA	6
6	memory.txt	Repense à un voyage marquant que tu as fait. Souviens-toi des lieux que tu as visité, ce que tu as mangé, les activités que tu as faites…	7
7	NoTask	NA	8
8	list.txt	Récite mentalement les noms de tous les pays que tu connais ainsi que leur capitale.	9
9	NoTask	NA	10
10	math.txt	Multiplie mentalement chaque chiffre de ton numéro de téléphone par 2, puis additionne tous les résultats.	11
11	NoTask	NA	12
12	memory.txt	Rappelle-toi de visites dans des lieux touristiques (musées, expositions, monuments, zoo, etc).	13
13	NoTask	NA	14
14	list.txt	Énumère toutes les professions que tu connais.	15
15	NoTask	NA	16
16	math.txt	Récite-toi mentalement les tables de multiplication.	17
17	NoTask	NA	18
18	memory.txt	Repense à plusieurs repas au restaurant. Visualise les plats que tu as commandé, la ou les personne(s) qui étaient présentes et les conversations que tu as eues.	19
19	NoTask	NA	20
20	list.txt	Pense à tous les fruits et légumes que tu peux nommer.	21
21	NoTask	NA	22
22	math.txt	Calcule la suite des carrés des nombres entiers.	23
23	NoTask	NA	24
24	memory.txt	Remémore-toi l’histoire de livres ou de films que tu as aimé.	25
25	NoTask	NA	26
26	list.txt	Essaie de penser au plus d’animaux possibles.	27
27	NoTask	NA	28
